なかむかいクリニック,567-0886,下中条町４番５号ラ・フレール ２階,072-621-2194,072-621-2196,,問合せ不可,●かかりつけ患者 医療機関の窓口 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
ももたろう痛みのクリニック,567-0810,宮元町１番１０号池上ハイツ １階,080-6245‐7770,072-646-6899,,診療時間内,電話（市コールセンター） Web（市予約システム） 医療機関の電話（窓口不可）,,,,,,,,,,,,,
はんだクリニック,567-0895,玉櫛一丁目１５番８号メゾン・プルミエール１階,072-630-6110,072-630-6120,,診療時間内,●かかりつけ患者 医療機関の窓口・電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
いのうえ整形外科,567-0035,見付山二丁目１番３号,072-646-8805,072-646-8806,,●月・火・水・金 ９時30分～11時30分16時30分～19時 ●木・土 ９時30分～11時30分,医療機関の電話 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
茨木診療所,567-0882,元町４番１６号,072-624-3977,072-624-3877,,月～金 14時～16時,電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
藍野病院,567-0011,高田町１１番１８号,072-627-7611,072-627-3627,,診療時間内（かかりつけ患者のみ）,●かかりつけ患者 医療機関の窓口（電話不可）●かかりつけ患者以外 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
すぎたクリニック,567-0021,三島丘二丁目８番１７号角屋ビル１階,072-620-1115,072-620-1116,,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
平田整形外科クリニック,567-0823,寺田町１１番７号,072-636-6267,072-636-6268,,診療時間内, 医療機関の窓口（電話不可） 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
川尻クリニック,567-0828,舟木町１９番２０号林泉第７ビル１階,072-632-0200,072-632-0271,,診療時間内,Web（医療機関独自）電話予約不可）,,,,,,,,,,,,,
都田泌尿器科医院,567-0828,舟木町５番１４号ＹＮビル２Ｆ,072-632-0111,072-632-0150,,診療時間内,Web（市予約システム） 電話（市コールセンター） 医療機関の電話不可,,,,,,,,,,,,,
谷川記念病院,567-0031,春日一丁目１６番５９号,072-622-3833,072-622-9702,,月～金 14時～17時,医療機関の電話,,,,,,,,,,,,,
本迫医院,567-0065,上郡一丁目２番３号,072-643-5485,072-643-5490,,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
まちでらクリニック,567-0065,上郡二丁目１３番１４号ＧＯＤＡ Ｃ＆Ｅビル３階,072-641-4411,,,診療時間内, ●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 20歳以上の市民） 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
サンタマリア病院,567-0884,新庄町１３番１５号,072-627-3459,072-622-2414,,月～金 14時～16時30分 土 10時～12時,電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
たつみ内科クリニック,567-0872,新中条町１番３０号ビエラ茨木新中条２階,072-631-1810,072-631-1815,,診療時間内,医療機関の窓口・電話,,,,,,,,,,,,,
茂松整形外科,567-0851,真砂三丁目１２番１９号,072-633-8801,072-637-6696,,●月～土 10時～11時30分 ●月・火・水・金 18時～19時30分 医療機関の窓口（電話不可）,,,,,,,,,,,,,,
北野外科内科,567-0843,星見町１８番３号,072-635-0131,072-634-1119,,診療時間内,●かかりつけ患者 医療機関の窓口（電話不可） ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
山本内科医院,567-0032,西駅前町１０－１１０,072-622-6466,072-622-6466,,月～土 ９時30分～11時30分,医療機関の電話,,,,,,,,,,,,,
西野クリニック,567-0032,西駅前町１３番２３号,072-626-1551,072-626-1551,,診療時間内,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
おおたに内科医院,567-0887,西中条町１番２２号エンゼル ウチダ１階,072-622-9060,072-622-9061,,診療時間内 ●月～土９時～11時30分 ●月・火・木・金 16時30分～19時30分,医療機関の窓口・電話,,,,,,,,,,,,,
友紘会総合病院,567-0058,西豊川町２５番１号,072-641-2488,072-641-3544,,●月～金 ９時～17時 ●土 ９時～13時,Web（医療機関独自）電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
森脇内科,567-0829,双葉町１０番１号茨木東阪急ビル,072-635-4900,072-637-0590,,月～金 ９時～12時,医療機関の窓口、電話,,,,,,,,,,,,,
おくだ内科クリニック,567-0829,双葉町６番２号フォルテ・ディ・コンフォート４０１号072-657-8637,072-657-8637,,,診療時間内,医療機関の電話 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
大嶋クリニック,567-0829,双葉町８番１９号,072-633-0119,072-633-0714,,月・火・水・金・土 (祝日除く) 13時～14時,●かかりつけ患者 医療機関の電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
つきやまクリニック,567-0829,双葉町８番８号双葉マンション１０１,072-648-5335,,,診療時間内,医療機関の窓口（電話不可） 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
佐々木耳鼻咽喉科クリニック,567-0829,双葉町９番１７号茨木佐々木ビル２階,072-636-6650,072-636-6652,,,,,,,,,,,,,,,診療時間内,●かかりつけ患者 医療機関の窓口、専用電話（072-657-8784) ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）
岩井医院,567-0802,総持寺駅前町１０番１１号,072-627-2061,072-625-2051,,診療時間内,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
すぎもとクリニック,567-0802,総持寺駅前町１番３２号ハイムエーデル１階,072-631-8811,072-631-8822,,問合せ不可,●かかりつけ患者 医療機関の窓口（電話不可）●かかりつけ患者以外 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
辰見医院,568-0091,大字大岩５５６番地,072-649-2018,072-649-2012,,月～土（木除く）10時～12時,医療機関の窓口・電話 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
永井医院,567-0883,大手町１０番１９号,072-622-0237,072-622-0237,,月～水 9時～12時 金 16時～19時,医療機関の窓口、電話,,,,,,,,,,,,,
須藤耳鼻咽喉科,567-0826,大池一丁目１４番３６号,072-634-5755,072-634-5788,,診療時間内,医療機関の窓口、電話,,,,,,,,,,,,,
髙島整形外科,567-0868,沢良宜西一丁目１３番２２号,072-630-2600,072-630-2601,,診療時間内,●かかりつけ患者 Web（医療機関独自）●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
高原クリニック,567-0868,沢良宜西一丁目１番３号南茨木第２阪急ビル４階,072-633-9029,072-634-3146,,診療時間内, ●かかりつけ患者 医療機関の電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
岸本クリニック,567-0868,沢良宜西一丁目４番１０号ノベルティ南茨木１階,072-638-1100,072-638-1177,,診療時間内,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
いのうえ内科,567-0815,竹橋町４番１０号,072-628-5533,072-628-4314,,診療時間内,医療機関の窓口（電話不可）,,,,,,,,,,,,,
谷口内科循環器クリニック,567-0063,中河原町１１番３９号,072-665-4976,072-665-4980,,診療時間内,電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
ベッチャククリニック,567-0803,中総持寺町１２番２号,072-635-1021,072-633-4449,,火・水 11時～11時30分, ●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
成田クリニック,567-0803,中総持寺町４番４７号,072-634-3791,072-657-7500,,診療時間内,医療機関の電話,,,,,,,,,,,,,
きはら内科クリニック,567-0803,中総持寺町９番１号高尾ビル３階,072-637-1205,,,診療時間内,●かかりつけ患者 医療機関の窓口、電話 ●かかりつけ患者以外 電話（市コールセンター）Web（市予約システム）,,,,,,,,,,,,,
じんないクリニック（陣内外科）,567-0824,中津町５番３号,072-635-1311,072-635-9228,,診療時間内,医療機関の電話、窓口、Web（医療機関独自） 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
多田クリニック,567-0034,中穂積一丁目２番３号アクトタレイア茨木駅前１階,072-622-1239,072-622-1240,,診療時間内,来院していただき、院内の予約用紙記入 電話予約不可）,,,,,,,,,,,,,
なかクリニック,567-0034,中穂積一丁目２番５０号,072-631-8808,072-631-8809,,●月～金 Web（医療機関独自） 12時～13時 ●土 15時～16時,電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
耳鼻咽喉科宇野医院,567-0034,中穂積一丁目２番５１号シャトー春日第３ビル２階,072-622-3341,072-622-3504,,診療時間内,電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
中菅野医院,567-0046,南春日丘一丁目１番３４号光寿ビル１階,072-622-1888,072-622-7722,,●月～土 10時～12時 ●月・水・金 17時～18時30分,医療機関の窓口、電話,,,,,,,,,,,,,
かん整形外科,567-0892,並木町１３番１号ル・プレＮ１ビル１階,072-632-9420,072-632-9420,,診療時間内 医療機関の窓口、電話 18歳以上の方）,,,,,,,,,,,,,,
もとひろクリニック,567-0892,並木町１番６号茨木スクエアービル１階,072-632-8751,,,診療時間内,●かかりつけ患者 医療機関の窓口（電話不可） ●かかりつけ患者以外 電話（市コールセンター） Web（市予約システム）,,,,,,,,,,,,,
